recipe_tag	coefficient
parmesan	0.03480760796595878
partyfood	0.03761096306091699
pasta	-0.01957653921880511
pastasauce	-0.010905013767535977
pastry	-0.03779742316379107
pastrycrust	-0.05156461355421324
peach	0.08097920872172042
peanutbutter	0.030539683210949208
peanutdressing	-0.011642728920020341
peanuts	-0.004462975355857292
peppers	0.014390038393923027
pickledvegetables	0.04563676488644573
pie	0.034029068732729276
piecrust	0.04725188865728701
pork	-0.004462975355857292
porkbelly	-0.029440902030152448
potatoes	-0.004943397917856947
protein	0.03957460366613501
puffpastry	0.039557158939789866
quiche	0.029102229691026472
quick	0.09540271281121927
ramen	-0.029440902030152448
refreshing	0.0010848649679828534
relish	-0.028893797858857487
rhubarb	0.0010848649679828534
rice	0.02238609727029561
ricevinegar	-0.014408455162945859
rich	0.025031769345650448
ricotta	0.026857787680462323
salad	0.013291677383823301
salsa	-0.05950032180730213
salty	0.006932915475321679
sandwich	-0.014578175656357417
sauce	0.05443953547447584
savory	0.016518428702013213
scallions	-0.009094729952075492
scallops	0.004531456414256144
seafood	-0.007735651046205799
sesame	-0.04842617384737421
sesameoil	-0.014408455162945859
sesameseeds	-0.014408455162945859
shrimp	-0.023747413794526464
sichuancuisine	-0.04744637504021357
sichuanpeppercorns	-0.009094729952075492
sidedish	-0.0025689690531994665
sidedishes	0.001213286736681567
skewers	-0.023747413794526464
smoky	-0.030868719429970565
snack	0.05299436905772813
snacks	-0.01797443901053407
sobanoodles	0.04879042480104565
soft	0.00993848241195006
souffle	0.03952778079155407
soup	0.05629420323943306
sourcream	0.0058215297990393
southern	0.06430219960588175
southerncuisine	-0.01448290528698826
soysauce	-0.05005666817969552
spam	0.004937516076831867
spices	-0.021880053442017166
spicy	-0.09973961871525511
spicyfood	-0.040455176474164745
spinach	0.06421619051955713
spring	0.018144460410403514
steamed	0.0027586329579245904
stirfry	-0.03835164508813808
strawberry	0.0010848649679828534
streetfood	-0.006084359726525677
stuffedpeppers	-0.040455176474164745
summer	0.024426631736259946
sushi	0.02238609727029561
sweet	0.1287083851254369
sweetandsalty	0.03595473279796361
sweetandsavory	0.12962633895385225
sweettreat	0.05243626461388005
taco	0.0018256254800804114
tacos	0.01717863708080479
tangy	0.026630602583601205
tart	0.05443953547447584
tea	0.012879105674090181
tempura	0.037647728400230764
tender	0.02562169300402884
texmex	0.014390038393923027
thanksgiving	0.02554573761561835
toast	-0.014578175656357417
tomato	0.048691532701801064
tomatoes	-0.008661774606317852
tomatosauce	0.0018140984652740017
tortilla	-0.02525840608523656
tortillabowl	0.0018256254800804114
tortillachips	0.02310878082376323
tortillas	0.00944664047606608
traditional	0.0027586329579245904
twisted	0.02403430863571679
udonnoodles	0.037647728400230764
vanilla	0.07773774236369368
vanillaicecream	-0.00837546395935524
vegan	-0.015017786115546744
vegetables	0.04699509099693458
vegetarian	-0.09148867826931839
warm	0.039557158939789866
whippedcream	-0.00837546395935524
winter	0.024472451483698893
yeastdough	0.02403430863571679
